population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,17,Sri Lanka,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,27.448210182255945,34.05329238806733,23.55886948527464
1,All Population,1,Deaths,18,Thailand,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,19.542438551799005,25.43160427903948,14.208692381036524
1,All Population,1,Deaths,19,Timor-Leste,3,Both,22,All ages,345,Malaria,3,Rate,2000,6.392205052873011,13.308096719789168,2.86591878868245
1,All Population,1,Deaths,34,Azerbaijan,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,13.440975403217383,16.164098711153855,9.634521414719782
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,248.2082780787944,255.19830348946755,239.83203780363013
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,22.52362095583975,29.152451208305997,17.689542979115934
1,All Population,1,Deaths,20,Viet Nam,3,Both,22,All ages,345,Malaria,3,Rate,2000,1.6736881680822369,3.9035036315863256,0.6886773319576471
1,All Population,1,Deaths,52,Romania,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,187.85019444036755,192.04344833622216,183.31899819224415
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,0.8647516165850783,0.9707505566844198,0.7472667884554152
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.7231830405593237,0.8258047081736329,0.6212550741603248
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,14.644316876270448,15.960214186793277,12.983697203355513
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,9.55447353162368,11.491192524687063,8.608155601792683
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.1770191209015422,0.1987607893009556,0.156387165645175
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,9.986571791228085,11.535419885254532,8.696000165628567
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,146.46315216129906,159.18552631813571,133.1755635694104
1,All Population,1,Deaths,203,Cabo Verde,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,65.65618063387049,74.61218378348704,58.2892662410251
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,87.77066218128887,155.2202035076986,52.0906490587128
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,68.84312169219879,101.17875035282286,43.18005750858387
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,161.76394713263494,168.07853080621908,152.4865692084121
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,39.36588938155222,41.77622482839338,35.930017743433375
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,151.1717672152597,159.5193990517903,141.1268197135572
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,160.30887734934095,219.60740609525857,117.17849334086051
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,135.20508154436004,164.9746946011286,108.67577017808834
1,All Population,1,Deaths,52,Romania,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,7.880540043435328,8.172594130367287,7.597972603526359
1,All Population,1,Deaths,35,Georgia,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,141.24545306789634,150.77196470568995,132.3391903328941
1,All Population,1,Deaths,35,Georgia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,22.19947419450411,24.639064860260916,20.122608291842454
1,All Population,1,Deaths,84,Ireland,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,208.99642018221715,215.75593063011684,199.41994459617857
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,181.84596539244689,191.01633975089996,164.5043408309066
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,108.83149708531161,112.12517568180888,104.57647959962392
1,All Population,1,Deaths,22,Fiji,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,6.481356142950022,8.555023312016129,4.816971911002056
1,All Population,1,Deaths,22,Fiji,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,4.0530483614437705,4.903941588539684,3.1705752887352237
1,All Population,1,Deaths,36,Kazakhstan,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,9.628140246539418,10.167473041782962,9.11006968668515
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,152.59458937063428,160.74935009332637,142.46824001659888
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,22,Fiji,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,219.6965211998211,236.32440306629044,199.04161707934588
1,All Population,1,Deaths,34,Azerbaijan,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,339.02987653080714,358.42882499531356,316.10719641682863
1,All Population,1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,3,Rate,2000,4.570931505931146e-10,6.448602980423909e-10,3.091032892917786e-10
1,All Population,1,Deaths,53,Serbia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,32.67342073364146,38.2970713470197,26.43580109730722
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,246.7475132413423,255.88025510435585,236.19107734602022
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,14.042001979282833,15.521272143592684,12.709586574805279
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,43.05620180307718,51.938413045672455,36.10037672895475
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,0.6190252110961031,0.7070250970705614,0.5251951693817656
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.115148932615109,1.359122502929926,0.8243261251873235
